DOID,Disease name,Definition,Relationship
10652,Alzheimer's disease,"A tauopathy that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid. It is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability.",is_a tauopathy
1520,colon carcinoma,A colon cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,is_a colon cancer
1612,breast cancer,  A thoracic cancer that originates in the mammary gland. ,is_a thoracic cancer
2236,congenital afibrinogenemia,,is_a inherited blood coagulation disease
2962,Cockayne syndrome,"An autosomal recessive disease that is caused by rare mutations in two DNA excision repair proteins, ERCC-8 and ERCC-6, and characterized by growth failure, impaired development of the nervous system, abnormal sensitivity to sunlight (photosensitivity), and premature aging.",is_a autosomal recessive disease
3883,Lynch syndrome,An autosomal dominant disease that is characterized by \nand has_material_basis_in mutation of mismatch repair genes that increases the risk of many types of cancers.,is_a autosomal dominant disease
5520,head and neck squamous cell carcinoma,"A head and neck carcinoma that has_material_basis_in squamous cells that line the moist, mucosal surfaces inside the head and neck.",is_a head and neck carcinoma
9246,cerebral amyloid angiopathy,"An amyloidosis where amyloid protein progressively deposits in cerebral blood vessel walls with subsequent degenerative vascular changes that usually result in spontaneous cerebral hemorrhage, ischemic lesions and progressive dementia.",is_a amyloidosis
9256,colorectal cancer,A large intestine cancer that is located_in the colon and/or located_in the rectum.,is_a large intestine cancer
9538,multiple myeloma,A myeloma that is located_in the plasma cells in bone marrow.,is_a myeloma
50424,familial adenomatous polyposis,An autosomal dominant disease that is caused by mutations in the APC gene and involves formation of numerous polyps in the epithelium of the large intestine which are initially benign and later transform into colon cancer.,is_a autosomal dominant disease
50427,xeroderma pigmentosum,An autosomal recessive disease that is characterized by a deficiency in the ability to repair ultraviolet damage that has_material_basis_in autosomal recessive inheritance of DNA repair.,is_a autosomal recessive disease
50636,familial visceral amyloidosis,,is_a amyloidosis
50637,Finnish type amyloidosis,,is_a amyloidosis
50638,transthyretin amyloidosis,"An amyloidosis that is characterized by a loss of sensation in the extremities, cardiomyopathy, nephropathy, vitreous opacities, and CNS amyloidosis resulting from abnormal deposits of amyloid protein in the body's organs and tissues and has_material_basis_in autosomal dominant inheritance of mutations in the TTR gene.",is_a amyloidosis
50773,paraganglioma,,is_a neuroendocrine tumor
4480,achondroplasia,An osteochondrodysplasia that results_in dwarfism which has_material_basis_in abnormal ossification of cartilage in located_in long bone. ,is_a osteochondrodysplasia
0060447,epithelial basement membrane dystrophy,,is_a epithelial and subepithelial dystrophy
6457,Cowden disease,"An autosomal dominant disease characterized by multiple noncancerous, tumor-like growths (hamartomas) and an increased risk of certain forms of cancer, especially breast, thyroid and endometrium. It is caused by mutations in the PTEN, SDHB, SDHD and KLLN genes.",is_a autosomal dominant disease
2962,Cockayne syndrome,"An autosomal recessive disease that is caused by rare mutations in two DNA excision repair proteins, ERCC-8 and ERCC-6, and characterized by growth failure, impaired development of the nervous system, abnormal sensitivity to sunlight (photosensitivity), and premature aging. ",is_a autosomal recessive disease
13482,Proteus syndrome,"None","is_a physical disorder"
