HGNC ID,gene name
620,peptidase nexin-II
14587,Eaf4
14587,FLJ20089
14587,MEAF4
14587,p47ING3
391,AKT
391,PKB
391,PRKBA
391,RAC
11916,CD120a
11916,TNF-R
11916,TNF-R-I
11916,TNF-R55
11916,TNFAR
11916,TNFR60
12405,CTS
12405,HsT2651
10683,cybS
10683,small subunit of cytochrome b
583,DP2
583,DP2.5
583,DP3
583,PPP1R46
583,protein phosphatase 1
583,regulatory subunit 46
3439,CSA
3438,ARMD5
3438,Cockayne syndrome B protein
3438,CSB
3438,RAD26
9588,MMAC1
9588,mutated in multiple advanced cancers 1
9588,PTEN1
9588,TEP1
9122,HNPCC4
9122,H_DJ0042M02.9
9122,MLH4
6119,LSIRF
3690,CD333
3690,CEK2
3690,JTK4
3436,FANCQ
3436,RAD1
3436,xeroderma pigmentosum
3436,complementation group F
9449,AltPrP
9449,CD230
9449,Creutzfeldt-Jakob disease
9449,fatal familial insomnia
9449,Gerstmann-Strausler-Scheinker syndrome
9449,p27-30
9449,PRP
4620,amyloidosis
4620,Finnish type
4620,DKFZp313L0718
10513,PIG4
10513,TP53I4
7127,FCC2
7127,HNPCC
7127,HNPCC2
6740,renal amyloidosis
11771,BIGH3
11771,CDB1
11771,CDGG1
8507,OSMRB
18969,CRL
18969,CRL3
18969,GLM-R
18969,Glmr
18969,IL-31RA
8975,PI3K
37212,killin
6998,FMF
6998,marenostrin
6998,pyrin
6998,TRIM20
882,FRP1
882,MEC1
882,mitosis entry checkpoint 1
882,homolog (S. cerevisiae)
882,SCKL
882,SCKL1
11998,LFS1
11998,Li-Fraumeni syndrome
11998,p53
10681,iron-sulfur subunit of complex II
10681,succinate dehydrogenase [ubiquinone] iron-sulfur subunit
11530,EGP-1
11530,GA733-1
11530,TROP2
11529,17-1A
11529,323/A3
11529,CD326
11529,CO-17A
11529,EGP-2
11529,EGP34
11529,EGP40
11529,Ep-CAM
11529,ESA
11529,GA733-2
11529,HEA125
11529,KS1/4
11529,KSA
11529,Ly74
11529,MH99
11529,MK-1
11529,MOC31
11529,TACST-1
11529,TROP1
16400,AGTAVPRL
16400,AII
16400,AVP
16400,CLR1.1
16400,Cryopyrin
16400,FCAS
16400,FCU
16400,MWS
16400,NALP3
16400,nucleotide-binding oligomerization domain
16400,leucine rich repeat and pyrin domain containing 3
16400,PYPAF1
11905,CD262
11905,DR5
11905,KILLER
11905,TRAIL-R2
11905,TRICK2A
11905,TRICKB
1582,B-cell CLL/lymphoma 1
1582,G1/S-specific cyclin D1
1582,parathyroid adenomatosis 1
1582,U21B31
6062,growth inhibitor ING1
6062,growth inhibitory protein ING1
6062,inhibitor of growth 1
6062,p24ING1c
6062,p33
6062,p33ING1
6062,p33ING1b
6062,p47
6062,p47ING1a
6062,tumor suppressor ING1
7325,HNPCC
7325,HNPCC1
12442,OCA1
12442,OCA1A
12442,OCAIA
12442,oculocutaneous albinism IA
