uniprot disease name,uniprot disease short name
Achondroplasia,ACH
Alzheimer disease 1,AD1
"Familial Mediterranean fever, autosomal dominant",ADFMF
Amyloidosis 5,AMYL5
Amyloidosis 6,AMYL6
Amyloidosis 8,AMYL8
"Amyloidosis, transthyretin-related",AMYL-TTR
"Familial Mediterranean fever, autosomal recessive",ARFMF
"Macular degeneration, age-related, 11",ARMD11
"Macular degeneration, age-related, 5",ARMD5
Breast cancer,BC
Bannayan-Riley-Ruvalcaba syndrome,BRRS
"Cerebral amyloid angiopathy, APP-related",CAA-APP
Congenital afibrinogenemia,CAFBN
Crouzon syndrome with acanthosis nigricans,CAN
"Corneal dystrophy, Groenouw type 1",CDGG1
"Corneal dystrophy, lattice type 1",CDL1
"Corneal dystrophy, Thiel-Behnke type",CDTB
Chronic infantile neurologic cutaneous and articular syndrome,CINCA
Cerebro-oculo-facio-skeletal syndrome 1,COFS1
Colorectal cancer,CRC
Cockayne syndrome A,CSA
Cockayne syndrome B,CSB
Carpal tunnel syndrome 1,CTS1
Cowden syndrome 1,CWS1
Cowden syndrome 2,CWS2
Cowden syndrome 4,CWS4
"Diarrhea 5, with tufting enteropathy, congenital",DIAR5
De Sanctis-Cacchione syndrome,DSC
"Hyperthyroxinemia, dystransthyretinemic",DTTRH
"Dysfibrinogenemia, congenital",DYSFIBRIN
"Corneal dystrophy, epithelial basement membrane",EBMD
Endometrial cancer,ENDMC
Esophageal cancer,ESCR
Fanconi anemia complementation group Q,FANCQ
Familial adenomatous polyposis,FAP
Familial cold autoinflammatory syndrome 1,FCAS1
"Cutaneous telangiectasia and cancer syndrome, familial",FCTCS
Familial hibernian fever,FHF
"Corneal dystrophy, gelatinous drop-like",GDLD
Hereditary desmoid disease,HDD
High density lipoprotein deficiency 1,HDLD1
High density lipoprotein deficiency 2,HDLD2
Hereditary non-polyposis colorectal cancer 1,HNPCC1
Hereditary non-polyposis colorectal cancer 2,HNPCC2
Hereditary non-polyposis colorectal cancer 4,HNPCC4
Hereditary non-polyposis colorectal cancer 5,HNPCC5
Hereditary non-polyposis colorectal cancer 6,HNPCC6
Hereditary non-polyposis colorectal cancer 7,HNPCC7
Hereditary non-polyposis colorectal cancer 8,HNPCC8
Squamous cell carcinoma of the head and neck,HNSCC
Hypercatabolic hypoproteinemia,HYCATHYP
Intestinal carcinoid tumor,ICT
Lhermitte-Duclos disease,LDD
Loeys-Dietz syndrome 2,LDS2
Medulloblastoma,MDB
Multiple myeloma,MM
Mismatch repair cancer syndrome,MMRCS
Muir-Torre syndrome,MRTES
Multiple sclerosis 5,MS5
Muckle-Wells syndrome,MWS
"Albinism, oculocutaneous, 1A",OCA1A
"Albinism, oculocutaneous, 1B",OCA1B
Osteoporosis,OSTEOP
Pheochromocytoma,PCC
Paraganglioma and gastric stromal sarcoma,PGGSS
Paragangliomas 1,PGL1
Paragangliomas 4,PGL4
"Amyloidosis, primary localized cutaneous, 1",PLCA1
"Amyloidosis, primary localized cutaneous, 2",PLCA2
Proteus syndrome,PROTEUSS
Seckel syndrome 1,SCKL1
Thanatophoric dysplasia 1,TD1
Thanatophoric dysplasia 2,TD2
UV-sensitive syndrome 2,UVSS2
XFE progeroid syndrome,XFEPS
Xeroderma pigmentosum complementation group F,XP-F
Xeroderma pigmentosum type F/Cockayne syndrome,XPF/CS
Creutzfeldt-Jakob disease,CJD
Gerstmann-Straussler disease,GSD
Fatal familial insomnia,FFI
Li-Fraumeni syndrome,LFS1
Ovarian cancer,OC
GNAS hyperfunction,GNASHYP
ACTH-independent macronodular adrenal hyperplasia 1,AIMAH1
Pseudohypoparathyroidism 1B,PHP1B
