Uniprot entry,Uniprot Link,Protein Name,Sequence length,Mass(Da),Targeted disease,collected by,HGNC ID
P05067,http://www.uniprot.org/uniprot/P05067,Amyloid beta A4 protein,770,86943,amyloidosis,jywang,620
Q9NXR8,http://www.uniprot.org/uniprot/Q9NXR8,Inhibitor of growth protein 3,418,46743,skin cancer,jywang,14587
P31749,http://www.uniprot.org/uniprot/P31749,RAC-alpha serine/threonine-protein kinase,480,55686,skin cancer,jywang,391
P19438,http://www.uniprot.org/uniprot/P19438,Tumor necrosis factor receptor superfamily member 1A,455,50495,amyloidosis,jywang,11916
P02647,http://www.uniprot.org/uniprot/P02647,Apolipoprotein A-I,267,30778,amyloidosis,jywang,600
P02766,http://www.uniprot.org/uniprot/P02766,Transthyretin,147,15887,amyloidosis,jywang,12405
O14521,http://www.uniprot.org/uniprot/O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",159,17043,skin cancer,jywang,10683
P25054,http://www.uniprot.org/uniprot/P25054,Adenomatous polyposis coli protein,2843,311646,skin cancer,jywang,583
Q13216,http://www.uniprot.org/uniprot/Q13216,DNA excision repair protein ERCC-8,396,44055,skin cancer,jywang,3439
P0DJI9,http://www.uniprot.org/uniprot/P0DJI9,Serum amyloid A-2 protein,122,13527,amyloidosis,jywang,10514
Q03468,http://www.uniprot.org/uniprot/Q03468,DNA excision repair protein ERCC-6,1493,168416,skin cancer,jywang,3438
P60484,http://www.uniprot.org/uniprot/P60484,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",403,47166,skin cancer,jywang,9588
P54278,http://www.uniprot.org/uniprot/P54278,Mismatch repair endonuclease PMS2,862,95797,skin cancer,jywang,9122
Q15306,http://www.uniprot.org/uniprot/Q15306,Interferon regulatory factor 4,451,51772,amyloidosis,jywang,6119
P22607,http://www.uniprot.org/uniprot/P22607,Fibroblast growth factor receptor 3,806,87710,amyloidosis,jywang,3690
Q9UHC1,http://www.uniprot.org/uniprot/Q9UHC1,DNA mismatch repair protein Mlh3,1453,163711,skin cancer,jywang,7128
Q92889,http://www.uniprot.org/uniprot/Q92889,DNA repair endonuclease XPF,916,104486,skin cancer,jywang,3436
P04156,http://www.uniprot.org/uniprot/P04156,Major prion protein,253,27661,amyloidosis,jywang,9449
P06396,http://www.uniprot.org/uniprot/P06396,Gelsolin,782,85698,amyloidosis,jywang,4620
P0DJI8,http://www.uniprot.org/uniprot/P0DJI8,Serum amyloid A-1 protein,122,13532,amyloidosis,jywang,10513
P02671,http://www.uniprot.org/uniprot/P02671,Fibrinogen alpha chain,866,94973,amyloidosis,jywang,3661
