HGNC ID,HGNC URL,Approved Symbol,Approved Name,Chromsome Location
620,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=620,APP,amyloid beta precursor protein,21q21.2
14587,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=14587,ING3,inhibitor of growth family member 3,7q31
391,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=391,AKT1,v-akt murine thymoma viral oncogene homolog 1,14q32.33
11916,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11916,TNFRSF1A,tumor necrosis factor receptor superfamily member 1A,12p13.2
600,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=600,APOA1,apolipoprotein A-I,11q23-q24
12405,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=12405,TTR,transthyretin,18q12.1
10683,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=10683,SDHD,succinate dehydrogenase complex subunit D,11q23
583,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=583,APC,adenomatous polyposis coli,5q21-q22
3439,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3439,ERCC8,excision repair cross-complementation group 8,5q12.1
10514,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=10514,SAA2,serum amyloid A2,11p15.1-p14
3438,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3438,ERCC6,excision repair cross-complementation group 6,10q11
9588,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=9588,PTEN,phosphatase and tensin homolog,10q23
9122,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=9122,PMS2,PMS1 homolog 2; mismatch repair system component,7p22.1
6119,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6119,IRF4,interferon regulatory factor 4,6p25.3
3690,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3690,FGFR3,fibroblast growth factor receptor 3,4p16.3
7128,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=7128,MLH3,mutL homolog 3,14q24.3
3436,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3436,ERCC4,excision repair cross-complementation group 4,16p13.3
9449,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=9449,PRNP,prion protein,20p13
4620,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=4620,GSN,gelsolin,9q33
10513,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=10513,SAA1,serum amyloid A1,11p15.1
3661,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3661,FGA,fibrinogen alpha chain,4q28
7127,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=7127,MLH1,mutL homolog 1,3p22.3
914,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=914,B2M,beta-2-microglobulin,15q21.1
6740,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6740,LYZ,lysozyme,12q15
11771,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11771,TGFBI,transforming growth factor beta induced,5q31
8507,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=8507,OSMR,oncostatin M receptor,5p13.2
13299,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=13299,LGR4,leucine-rich repeat containing G protein-coupled receptor 4,11p14-p13
18969,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=18969,IL31RA,interleukin 31 receptor A,5q11.2
8975,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=8975,PIK3CA,phosphatidylinositol-4;5-bisphosphate 3-kinase catalytic subunit alpha,3q26.3
37212,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=37212,KLLN,killin; p53-regulated DNA replication inhibitor,10q23
11773,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11773,TGFBR2,transforming growth factor beta receptor II,3p22
6998,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6998,MEFV,Mediterranean fever,16p13.3
882,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=882,ATR,ATR serine/threonine kinase,3q23
11998,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11998,TP53,tumor protein p53,17p13.1
10681,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=10681,SDHB,succinate dehydrogenase complex iron sulfur subunit B,1p36.1-p35
11530,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11530,TACSTD2,tumor-associated calcium signal transducer 2,1p32
11529,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11529,EPCAM,epithelial cell adhesion molecule,2p21
7329,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=7329,MSH6,mutS homolog 6,2p16
16400,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=16400,NLRP3,NLR family; pyrin domain containing 3,1q44
11905,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11905,TNFRSF10B,tumor necrosis factor receptor superfamily member 10b,8p22-p21
5525,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=5525,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),14q32.33
1582,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=1582,CCND1,cyclin D1,11q13
6062,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6062,ING1,inhibitor of growth family member 1,13q34
7325,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=7325,MSH2,mutS homolog 2,2p21
2475,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=2475,CST3,cystatin C,20p11.2
12442,http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=12442,TYR,tyrosinase,11q14.3
