Uniprot entry,phenotype MIM#1,uniprot disease name,DOID #1
P05067,104300,Alzheimer disease 1,10652
Q9NXR8,275355,Squamous cell carcinoma of the head and neck,5520
P31749,114480,Breast cancer,1612
P02766,105210,"Amyloidosis, transthyretin-related",50638
O14521,168000,Paragangliomas 1,50773
P25054,175100,Familial adenomatous polyposis,50424
Q13216,216400,Cockayne syndrome A,2962
Q03468,133540,Cockayne syndrome B,2962
P60484,158350,Cowden syndrome 1,6457
P54278,614337,Hereditary non-polyposis colorectal cancer 4,3883
Q15306,254500,Multiple myeloma,9538
P22607,100800,Achondroplasia,4480
Q9UHC1,614385,Hereditary non-polyposis colorectal cancer 7,3883
Q92889,278760,Xeroderma pigmentosum complementation group F,50427
P06396,105120,Amyloidosis 5,50637
P02671,202400,Congenital afibrinogenemia,2236
P40692,609310,Hereditary non-polyposis colorectal cancer 2,3883
P61626,105200,Amyloidosis 8,50636
Q15582,121820,"Corneal dystrophy, epithelial basement membrane",0060447
P05067,605714,"Cerebral amyloid angiopathy, APP-related",9246
P31749,114500,Colorectal cancer,1520
P31749,176920,Proteus syndrome,13482
P31749,114500,Colorectal cancer,9256
