Uniprot entry,Protein name
P05067,ABPP
P05067,APPI
P05067,Alzheimer disease amyloid protein
P05067,Cerebral vascular amyloid peptide
P05067,PreA4
P05067,Protease nexin-II
Q9NXR8,p47ING3
P31749,Protein kinase B
P31749,Protein kinase B alpha
P31749,Proto-oncogene c-Akt
P31749,RAC-PK-alpha
P19438,Tumor necrosis factor receptor 1
P19438,Tumor necrosis factor receptor type I
P19438,p55
P19438,p60
P02647,Apolipoprotein A1
P02766,ATTR
P02766,Prealbumin
P02766,TBPA
O14521,CII-4
O14521,QPs3
O14521,Succinate dehydrogenase complex subunit D
O14521,Succinate-ubiquinone oxidoreductase cytochrome b small subunit
O14521,Succinate-ubiquinone reductase membrane anchor subunit
P25054,Deleted in polyposis 2.5
Q13216,Cockayne syndrome WD repeat protein CSA
Q03468,ATP-dependent helicase ERCC6
Q03468,Cockayne syndrome protein CSB
P60484,Mutated in multiple advanced cancers 1
P60484,Phosphatase and tensin homolog
P54278,DNA mismatch repair protein PMS2
P54278,PMS1 protein homolog 2
Q15306,Lymphocyte-specific interferon regulatory factor
Q15306,Multiple myeloma oncogene 1
Q15306,NF-EM5
Q9UHC1,MutL protein homolog 3
Q92889,DNA excision repair protein ERCC-4
Q92889,DNA repair protein complementing XP-F cells
Q92889,Xeroderma pigmentosum group F-complementing protein
P04156,ASCR
P04156,PrP27-30
P04156,PrP33-35C
P06396,AGEL
P06396,Actin-depolymerizing factor
P06396,Brevin
P40692,MutL protein homolog 1
P61626,"1,4-beta-N-acetylmuramidase C"
Q15582,Kerato-epithelin
Q15582,RGD-containing collagen-associated protein
Q99650,Interleukin-31 receptor subunit beta
Q9BXB1,G-protein coupled receptor 48
Q8NI17,Cytokine receptor-like 3
Q8NI17,GLM-R
Q8NI17,Gp130-like monocyte receptor
Q8NI17,ZcytoR17
P42336,Phosphatidylinositol 4
P42336,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha
P42336,Phosphoinositide-3-kinase catalytic alpha polypeptide
P42336,Serine/threonine protein kinase PIK3CA
P37173,TGF-beta type II receptor
P37173,Transforming growth factor-beta receptor type II
O15553,Marenostrin
Q13535,Ataxia telangiectasia and Rad3-related protein
Q13535,FRAP-related protein 1
P04637,Antigen NY-CO-13
P04637,Phosphoprotein p53
P04637,Tumor suppressor p53
P21912,Iron-sulfur subunit of complex II
P09758,Cell surface glycoprotein Trop-2
P09758,Membrane component chromosome 1 surface marker 1
P09758,Pancreatic carcinoma marker protein GA733-1
P16422,Adenocarcinoma-associated antigen
P16422,Cell surface glycoprotein Trop-1
P16422,Epithelial cell surface antigen
P16422,Epithelial glycoprotein
P16422,Epithelial glycoprotein 314
P16422,KS 1/4 antigen
P16422,KSA
P16422,Major gastrointestinal tumor-associated protein GA733-2
P16422,Tumor-associated calcium signal transducer 1
P52701,G/T mismatch-binding protein
P52701,MutS-alpha 160 kDa subunit
Q96P20,Angiotensin/vasopressin receptor AII/AVP-like
Q96P20,Caterpiller protein 1.1
Q96P20,Cold-induced autoinflammatory syndrome 1 protein
Q96P20,Cryopyrin
Q96P20,PYRIN-containing APAF1-like protein 1
O14763,Death receptor 5
O14763,TNF-related apoptosis-inducing ligand receptor 2
P24385,B-cell lymphoma 1 protein
P24385,BCL-1 oncogene
P24385,PRAD1 oncogene
P43246,MutS protein homolog 2
P01034,Cystatin-3
P01034,Gamma-trace
P01034,Neuroendocrine basic polypeptide
P01034,Post-gamma-globulin
P14679,LB24-AB
P14679,Monophenol monooxygenase
P14679,SK29-AB
P14679,Tumor rejection antigen AB
