HGNC ID	Chromsome Location
620	21q21.2
14587	7q31
391	14q32.33
11916	12p13.2
600	11q23-q24
12405	18q12.1
10683	11q23
583	5q21-q22
3439	5q12.1
10514	11p15.1-p14
3438	10q11
9588	10q23
9122	7p22.1
6119	6p25.3
3690	4p16.3
7128	14q24.3
3436	16p13.3
9449	20p13
4620	9q33
10513	11p15.1
3661	4q28
7127	3p22.3
914	15q21.1
6740	12q15
11771	5q31
8507	5p13.2
13299	11p14-p13
18969	5q11.2
8975	3q26.3
37212	10q23
11773	3p22
6998	16p13.3
882	3q23
11998	17p13.1
10681	1p36.1-p35
11530	1p32
11529	2p21
7329	2p16
16400	1q44
11905	8p22-p21
5525	14q32.33
1582	11q13
6062	13q34
7325	2p21
2475	20p11.2
12442	11q14.3
